p_val avg_log2FC pct.1 pct.2 p_val_adj
GRCh38--SNTG1 1.01665668852674e-09 -1.87856969610146 0.836 1 2.00535531811899e-05
GRCh38--TNIK 1.065902133947e-09 2.4093909361377 0.974 0.118 2.10249195921045e-05
GRCh38--PBX1 1.07107554562594e-09 -1.81984066078369 0.983 1 2.11269651374717e-05
GRCh38--ERC2 1.07288458527884e-09 -1.59001616194441 0.991 1 2.11626484446252e-05
GRCh38--SLC18A1 1.12616246447824e-09 -0.55209463474373 0.026 0.471 2.22135546118333e-05
GRCh38--PTPRZ1 1.14945453044059e-09 -1.91199057983011 0.216 0.824 2.26729906129406e-05
GRCh38--GRID2 1.15347989812812e-09 2.87833706669893 1 0.588 2.27523909905772e-05
GRCh38--UACA 1.20209094425175e-09 -0.723212439098876 0.06 0.588 2.37112438753658e-05
GRCh38--POU3F1 1.23099436011591e-09 -0.804733869215146 0.06 0.588 2.42813637532863e-05
GRCh38--PITX3 1.23512204192499e-09 -0.745856099642964 0.017 0.412 2.43627822769704e-05
GRCh38--AC018742.1 1.35592210425605e-09 -0.695230026572996 0.017 0.412 2.67455635064506e-05
GRCh38--AL360267.2 1.38226880927738e-09 -1.17535988605019 0.121 0.765 2.72652522629963e-05
GRCh38--OPCML 2.34694764152289e-09 4.32888683485626 0.922 0.235 4.62935422290389e-05
GRCh38--TH 2.37042573493063e-09 -1.51813099224295 0.147 0.765 4.67566476215067e-05
GRCh38--AL589740.1 2.77939969528344e-09 -1.79112843355252 0.457 1 5.48236589894658e-05
GRCh38--PDE4D 2.87724520033713e-09 -1.79547350113394 0.974 1 5.67536615766499e-05
GRCh38--AP001021.3 3.03979371866505e-09 -1.53407795805515 0.198 0.824 5.9959931100668e-05
GRCh38--NAV3 3.06428963306614e-09 1.87396515828984 0.991 0.882 6.04431130122296e-05
GRCh38--DSG2 3.19273599228557e-09 -0.371968777386958 0 0.294 6.2976717447833e-05
GRCh38--EXOSC4 3.49489689202533e-09 -0.423715390350841 0.009 0.353 6.89368411951997e-05
GRCh38--AC010941.1 3.51566581418883e-09 -0.7918918046698 0.138 0.765 6.93465081848746e-05
GRCh38--RBMS1 3.59853137098493e-09 -1.51253697576972 0.716 1 7.09810312926778e-05
GRCh38--AP001407.1 3.86892546943514e-09 -1.99291057521368 0.336 0.882 7.63145548846081e-05
GRCh38--CDH18 4.00442272117822e-09 3.96966415297252 0.914 0.235 7.89872381752403e-05
GRCh38--NTN1 6.15933111526073e-09 -1.96492584051889 0.319 0.941 0.000121492806248518
GRCh38--ERBB4 7.46116370416007e-09 -1.77836957483849 0.69 1 0.000147171454064557
GRCh38--RORA 8.39797800938604e-09 -1.43374229458256 0.888 1 0.00016565011623514
GRCh38--NEBL 8.69498074023036e-09 1.79894801052076 0.983 0.471 0.000171508495101044
GRCh38--MDGA2 9.22082168801195e-09 2.33694276061843 0.983 0.529 0.000181880707796036
GRCh38--PLCL1 1.00301054232331e-08 2.39468443732268 0.853 0 0.000197843829473274
GRCh38--NYAP2 1.35263438988452e-08 -1.30817493982003 0.862 1 0.000266807133404722
GRCh38--SEMA6D 1.64353457441469e-08 -1.38673158858283 0.94 1 0.000324187194803298
GRCh38--GUCY1A2 1.70743012016389e-08 2.00620514952671 0.836 0 0.000336790591202327
GRCh38--DAB1 1.79811764482902e-08 -1.4784320705188 0.966 1 0.000354678705442525
GRCh38--CACNA2D1 1.95057882060716e-08 2.5812774539133 0.94 0.706 0.000384751672364763
GRCh38--PTPRD 2.11211176483844e-08 2.72858799495487 0.991 0.588 0.000416614045614383
GRCh38--LINC00200 2.18607464963268e-08 -1.28836645873985 0.259 0.882 0.000431203224640046
GRCh38--PCDH9-AS2 3.43235909022199e-08 2.96794946545421 0.836 0.059 0.000677032830546288
GRCh38--AL033504.1 3.49778527465161e-08 2.44351519985498 0.819 0 0.000689938145425029
GRCh38--LRRC4C 3.50842891879903e-08 2.86222007141334 0.983 0.941 0.000692037604233108
GRCh38--GALNT13 3.71034773031875e-08 2.31139940812742 0.897 0.235 0.000731866089805373
GRCh38--TRPM3 3.75801520969966e-08 2.14383375521195 0.974 0.471 0.000741268500113258
GRCh38--LPAR1 4.05772526400567e-08 -0.952356476863046 0.112 0.647 0.000800386308325119
GRCh38--IGF1 4.48843434136083e-08 -0.745856099642964 0.017 0.353 0.000885343673833425
GRCh38--COL4A4 4.5620984026046e-08 -0.855407051463745 0.112 0.647 0.000899873909913757
GRCh38--DGKB 4.70611372075398e-08 2.75178873899416 0.888 0.294 0.000928280931418723
GRCh38--FGF14 4.95829516175791e-08 1.93121141239706 1 0.647 0.000978023720656748
GRCh38--ROBO2 5.08574812446698e-08 -2.05648493666329 0.905 1 0.00100316381755111
GRCh38--L3MBTL4 5.21888617648278e-08 -1.93878963646703 0.276 0.824 0.00102942529831123
GRCh38--EIF1B-AS1 5.62631958250701e-08 -1.69177503865595 0.716 1 0.00110979153764951
GRCh38--B4GALT6 5.77129760991396e-08 -1.36651892605084 0.517 1 0.00113838845355553
GRCh38--AL449983.1 5.85414012535173e-08 -0.531731294290116 0.017 0.353 0.00115472913972563
GRCh38--MIR4500HG 6.01361399666314e-08 -1.44859005898987 0.345 0.941 0.0011861853608418
GRCh38--SH3RF3 6.69814281874332e-08 -1.81182512803415 0.569 0.941 0.00132120867099712
GRCh38--GRIA4 8.18634728035721e-08 2.4957329646401 0.931 0.529 0.00161475700105046
GRCh38--COL4A3 8.22896031626629e-08 -0.99878714155035 0.19 0.765 0.00162316242238353
GRCh38--COL9A2 8.25288486565006e-08 -1.31108653523994 0.034 0.412 0.00162788153974947
GRCh38--NPAS3 8.6098703589559e-08 2.35947537529135 0.991 0.765 0.00169829692830405
GRCh38--CSMD3 8.98802831767387e-08 1.483552853765 1 0.941 0.00177288858566117
GRCh38--ADARB2-AS1 1.0455533670444e-07 -1.33123310835171 0.216 0.824 0.00206235401649508
GRCh38--NRG3 1.0488382169499e-07 1.35809337362536 1 1 0.00206883338293369
GRCh38--PIGN 1.28386998094941e-07 -0.770518153877233 0.25 0.882 0.00253243353742271
GRCh38--PCP4 1.33356398761712e-07 -0.877433357793745 0.095 0.588 0.00263045496557477
GRCh38--INS 1.33928674070182e-07 -0.304854581528421 0 0.235 0.00264174309603434
GRCh38--TERT 1.38405678115558e-07 -0.359585052931126 0.009 0.294 0.00273005200082937
GRCh38--GRIK3 1.41738858000739e-07 -1.35143382153569 0.431 0.941 0.00279579897406457
GRCh38--ANK1 1.51829243198596e-07 -1.54518445722866 0.836 1 0.0029948318220923
GRCh38--AC004828.1 1.54241565598694e-07 -0.44859005898987 0.034 0.412 0.00304241488143424
GRCh38--AP001033.1 1.54241565598694e-07 -0.44859005898987 0.034 0.412 0.00304241488143424
GRCh38--RYR2 1.55644981412041e-07 2.14957798053055 0.914 0.294 0.0030700972583525
GRCh38--IQCJ-SCHIP1 1.5723596910921e-07 -1.62612824454206 0.75 1 0.00310147949067916
GRCh38--CSMD2 1.61681204469309e-07 -1.54575190223822 0.879 1 0.00318916175815712
GRCh38--SNCA 1.73751873826787e-07 -1.33311284156993 0.552 0.941 0.00342725571123338
GRCh38--AL137024.1 1.747954249984e-07 -0.702346651235654 0.069 0.529 0.00344783975809344
GRCh38--AC008056.1 1.75965446373026e-07 -1.70012882598583 0.543 1 0.00347091842970794
GRCh38--AC027251.1 1.83240729766359e-07 -1.07662128160291 0.302 0.882 0.00361442339464144
GRCh38--DRD2 1.9328696113998e-07 -1.20314971317081 0.216 0.765 0.00381258530848611
GRCh38--NKAIN3 2.04718663474855e-07 -2.22945847503289 0.578 0.941 0.00403807563704151
GRCh38--RORA-AS1 2.12743008202311e-07 -1.34265661424081 0.448 0.941 0.00419635583679059
GRCh38--AC012404.1 2.31824613360603e-07 -1.02249737120203 0.638 1 0.0045727404985379
GRCh38--OSBPL10 2.8190496623896e-07 -1.21109074526321 0.603 1 0.00556057545906348
GRCh38--SLC35F4 2.86109713401902e-07 -1.7098768025374 0.569 1 0.00564351409685251
GRCh38--CADPS2 2.94449934612123e-07 -1.74728584763952 0.379 0.882 0.00580802496022413
GRCh38--PDE4B 2.95213341840539e-07 -1.34635813370792 0.905 1 0.00582308316780463
GRCh38--TAC1 3.11463868588796e-07 -0.807992859295896 0.138 0.706 0.00614362480791401
GRCh38--ARHGAP10 3.25181577930548e-07 -0.907020153782095 0.078 0.529 0.00641420662468005
GRCh38--OXR1 3.32618191709896e-07 2.60452127746969 0.776 0.059 0.0065608938314777
GRCh38--PCDH7 3.6965403860017e-07 2.73843605373089 0.897 0.471 0.00729142591138835
GRCh38--SLITRK5 4.03397946746199e-07 -1.00184369998369 0.353 0.941 0.00795702449956877
GRCh38--CNTNAP5 4.10370653388148e-07 2.82804195024465 0.879 0.353 0.00809456113808121
GRCh38--GRIA3 4.3703637736717e-07 -1.58175651042206 0.379 0.882 0.00862054254356743
GRCh38--KANK4 4.85350093806994e-07 -0.839780816314346 0.043 0.412 0.00957353060034295
GRCh38--OLFM3 5.18672678839043e-07 -1.69251564187596 0.871 1 0.0102308185901001
GRCh38--STAT3 5.35796441120207e-07 -1.08427231731889 0.388 0.882 0.0105685848010961
GRCh38--SORCS3 6.35093423423627e-07 1.92296880362209 0.836 0.118 0.012527217777031
GRCh38--AC004594.1 6.49098986025267e-07 -1.67780778006246 0.319 0.824 0.0128034774993484
GRCh38--LDLRAD4 6.50706663765987e-07 -1.19689638003833 0.94 1 0.0128351889427841
GRCh38--BRINP3 6.88272904665001e-07 3.14569306970776 0.75 0.059 0.0135761830445171
GRCh38--HECW2 7.58339038354365e-07 -0.976266819093809 0.905 1 0.0149582375315398
GRCh38--AC090531.1 7.9184964058044e-07 -1.0781427107351 0.302 0.941 0.0156192341604492
GRCh38--BARD1 8.17958631528693e-07 -0.544450074397386 0.06 0.471 0.0161342340069035
GRCh38--KIF26B 9.162212201087e-07 -1.33755874660113 0.983 1 0.0180724635666441
GRCh38--ST6GALNAC5 9.32227012099252e-07 -1.24514444944588 0.509 1 0.0183881778136577
GRCh38--SLC39A11 1.01865740868916e-06 -0.721274634857384 0.207 0.765 0.0200930173863938
GRCh38--SERPINE2 1.19300137204647e-06 -0.91253715874966 0.284 0.824 0.0235319520636167
GRCh38--PCDH10 1.24525224386443e-06 -1.12090269481382 0.491 1 0.0245626005102259
GRCh38--KCTD16 1.26173725978629e-06 2.22948184612277 0.759 0.118 0.0248877674492845
GRCh38--AC008056.2 1.27520818863706e-06 -0.800062429491248 0.207 0.765 0.0251534815208661
GRCh38--NCAM2 1.29219331379832e-06 2.27969329207653 0.931 0.529 0.0254885131146718
GRCh38--DACH1 1.29685032285649e-06 3.00620514952671 0.707 0 0.0255803726183442
GRCh38--PCDH11X 1.33276293403588e-06 3.19269905708106 0.733 0.059 0.0262887488738577
GRCh38--RGS6 1.38027375101003e-06 -2.12815334211115 0.509 1 0.0272258997386728
GRCh38--MPPED2 1.44851376067982e-06 -0.953382211027043 0.371 0.941 0.0285719339294095
GRCh38--LDLRAD3 1.45516344156144e-06 -1.19861180598152 0.448 0.882 0.0287030988847994
GRCh38--AL160254.1 1.49906050479738e-06 1.73073364045469 0.698 0 0.0295689684571282
GRCh38--RGS11 1.51999117267093e-06 -0.893002160402228 0.284 0.824 0.0299818258809341
GRCh38--COL11A1 1.64590357755136e-06 -1.12415510849193 0.121 0.588 0.0324654480672006
GRCh38--GRIK2 1.6767417422357e-06 1.94069067404083 0.974 0.882 0.0330737308655991
GRCh38--LSAMP 1.85308194044976e-06 -0.792053579062025 1 1 0.0365520412753715
GRCh38--NOVA1 2.04334247817427e-06 1.48295463881204 1 0.941 0.0403049303819875
GRCh38--LMNTD2 2.05604522483757e-06 -0.347306723152689 0.017 0.294 0.0405554920599211
GRCh38--HIRIP3 2.05604522483757e-06 -0.347306723152689 0.017 0.294 0.0405554920599211
GRCh38--DSC2 2.05604522483757e-06 -0.347306723152689 0.017 0.294 0.0405554920599211
GRCh38--AL354771.1 2.16078129104051e-06 2.51270641167965 0.69 0 0.042621410965774
GRCh38--HNF4G 2.17730006421532e-06 -0.723212439098876 0.052 0.412 0.0429472437666473
GRCh38--GRP 2.48383414778276e-06 -0.83763234973577 0.052 0.412 0.048993628565015
GRCh38--GRM7 2.50031429305798e-06 2.24112325255816 0.81 0.235 0.0493186994305687
GRCh38--IL1RAPL2 2.51195551970422e-06 -2.3085171756278 0.241 0.706 0.0495483226261658
GRCh38--CCDC178 2.53244126796101e-06 -0.695971200512179 0.121 0.588 0.0499524040105308
GRCh38--ARHGEF28 2.5341569532756e-06 -0.971430847803229 0.31 0.824 0.0499862459033613
